filename,inputs_path,url_base,record_id,md5
cf_wind-ons_reference_ba.h5,profiles_cf,https://zenodo.org/records/{record_id}/files/{filename},18422200,8fd010e1d38f9a8591ba58c9eff1a368
cf_wind-ons_reference_county.h5,profiles_cf,https://zenodo.org/records/{record_id}/files/{filename},18422200,0670813d0a18b688d698ca24cf67fb92
demand_EER2023_100by2050.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18423998,5c869537b22e8c20744dcd8d92e3c47e
demand_EER2023_Baseline_AEO2022.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18423998,b20a6a69a73856ce67141dbf7c61bd1d
demand_EER2023_IRAlow.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18423998,8a7c3eebeb2bf68db5c6c2659e04b99d
demand_EER2023_IRAmoderate.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18423998,335aac83e69b9900f2f57d3abf85453d
demand_EER2025_100by2050.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18435264,02aa8607339b482dc70af5facd009796
demand_EER2025_Baseline_AEO2023.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18435264,93c3381e19acc9ceedfc0a135d1e6370
demand_EER2025_IRAlow.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18435264,385b0f7ef9117390a10ea2ada1c0961b
demand_EFS_Baseline.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,356c87c5df134c69ed72d7c4af7fb5d8
demand_EFS_Clean2035_LTS.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,2f4ad53fc9daeb63c23c35215e1c0a88
demand_EFS_Clean2035.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,0943d2ca99a8f265d371c3e8a26edfdf
demand_EFS_Clean2035clip1pct.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,4b409ba1da3533643a273ee26a67ca90
demand_EFS_HIGH.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,7ed5f01dbaeb7019048d03d828bf7a90
demand_EFS_MEDIUM.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,105cf4944508c2b167dc5279859e238e
demand_EFS_MEDIUMStretch2040.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,f49939d02a08c3006f1d81dc3accbc7f
demand_EFS_MEDIUMStretch2046.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,81a22ed0b2fb5a49ec99e8f6f27974da
demand_EFS_REFERENCE.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18461543,7b2055d43200744a16a8c4fed68b1a17
demand_historic.h5,profiles_demand,https://zenodo.org/records/{record_id}/files/{filename},18462671,06ca6b65088a870afafc25191dcfd6f3
